"","BT-549","CCRF-CEM","DU-145","HL-60(TB)","HS 578T","IGROV1","K-562","MCF7","MDA-MB-231/ATCC","MOLT-4","NCI/ADR-RES","OVCAR-3","OVCAR-4","OVCAR-5","OVCAR-8","PC-3","RPMI-8226","SK-OV-3","SR","T-47D"
"KCNK6",4.51727632320728,5.36807022585287,5.95186773739555,5.51727600820846,4.78659688460631,4.31469725062849,4.82273065773066,6.29278193324506,5.28909707139566,5.35755235649488,4.94485891421494,5.77082931026233,4.83794374632976,5.48542714920035,4.65535240111047,5.56985591205619,5.39917143569065,5.62351603412643,4.44625689167613,7.25077222632711
"RGS22",4.70597845443914,4.43296007519032,4.72792099897632,4.45285962347852,5.09170025721447,4.75488803649487,3.97269357291801,4.87282925192219,4.41278220265993,4.30742925382592,4.91169206117294,4.97728038149827,5.19770855106071,3.05311307464531,3.13750516317519,4.63226879723127,4.72792099897632,4.97728038149827,3.35049866149034,3.71149600794359
"FGF19",2.63227054242512,2.67807415932188,2.03562742849482,2.70044193767022,4.38543172747806,3.58496370296652,3.40599372070825,2.32193098027456,2.94486031943625,3.21723226750483,4.68929971971991,2.72246821037101,2.76553686797177,10.2547924420008,3.30742998245923,3.00000180336767,2.65535411860286,5.58496280128259,3.6438573439303,2.00000360673309
"RALA",8.97928230499626,8.86480522518734,8.49545537298479,9.02319992481747,9.08613625157184,8.5407093014119,9.50322947969377,8.79863383395381,9.04657839390276,9.36260140944659,9.73606364478897,9.84533324342603,9.97985388145068,9.62003651643268,9.99703832425036,9.04657839390276,8.72075731152718,9.01122728338246,9.98911063071768,9.8570479320435
"PRKAA1",5.83794349411042,5.66391412667118,7.35579163483026,5.41278186399924,5.91408633626561,6.1977083545083,6.12928322304424,5.51412257585887,6.22110391875862,5.86046650682954,5.963474355176,6.23649280972015,6.04001589810243,6.5834590605682,6.85174916632471,6.63807398202961,5.53294059997004,6.44790991399923,6.49984604649701,6.71011776983666
"TMEM55A",5.37155921108898,5.76288055860667,5.73064022761075,5.73876810696778,6.20163405718799,5.51727600820846,6.38024476367086,4.23266152418105,6.15380553870473,5.81506327344418,4.54843724123225,4.55458946559029,5.62643942874082,6.11061401428453,4.52356258331559,6.30560597197417,5.96578451549327,5.90448433875199,7.28447721035019,2.35050007589517
"SYTL1",2.92600131683792,9.05229635841088,7.9050861589493,10.1063012164058,4.96347458637707,8.44294353730548,6.31106728395521,8.19475690366099,6.09170004567566,8.19672510995764,7.42794141628968,7.60139946482096,8.76321240001797,8.13339917679523,8.1704259003487,8.16942402878705,9.81714357440043,6.78790268995206,5.29278211726225,9.40450298251499
"C19orf12",2.3785143976646,2.3785143976646,3.00000180336767,2.26303741144533,2.53605538764331,2.67807415932188,2.80735698304905,3.75488857082607,2.92600131683792,2.63227054242512,2.84799891029667,6.58044717035049,3.37851301045983,2.90689251920062,5.65248678173624,3.35049866149034,2.23266382635093,4.21723149186296,3.12101705923057,2.35050007589517
"BVES",5.62058670368255,4.2094541454639,6.25738803128023,3.81762428069904,6.47573359306696,3.6205875833742,5.10013709189619,4.46597511730711,3.6667577278647,4.31469725062849,5.74685045175632,5.45614936328009,5.62935691153312,3.99095576775208,5.22496675074756,4.45943227440762,3.65535297360816,5.70043999558242,6.95419642673324,3.98185356638758
"PRSS23",3.8678974521396,0.485437132098016,8.94397994363704,1.53605787504212,7.37417016303022,3.60881042521196,2.35050007589517,0.765543232779434,7.094869538256,1.37851717207014,5.04875974777932,4.14567827027735,4.9541967757723,7.18090380860702,6.0245858598904,5.33985035910558,1.00000721345717,3.70044082790608,4.27052968989091,1.48543197964333
